,movie,year,movie_desc,director,cast,votes,ratings,genre,movie_time,desc_lenth,revenue_by_M
0,The Shawshank Redemption,1994,Over the course of several years two convicts form a friendship seeking consolation and eventually redemption through basic compassion.,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler",2807755,9.3,Drama,142,135,28.34
1,The Godfather,1972,Don Vito Corleone head of a mafia family decides to hand over his empire to his youngest son Michael. However his decision unintentionally puts the lives of his loved ones in grave danger.,Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan,Diane Keaton",1956642,9.2,"Crime, Drama",175,188,134.97
2,Pulp Fiction,1994,The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption.,Quentin Tarantino,"John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis",2153333,8.9,"Crime, Drama",154,140,107.93
3,The Godfather Part II,1974,The early life and career of Vito Corleone in 1920s New York City is portrayed while his son Michael expands and tightens his grip on the family crime syndicate.,Francis Ford Coppola,"Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton",1328667,9.0,"Crime, Drama",202,161,57.3
4,Inception,2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. but his tragic past may doom the project and his team to disaster.,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe",2475834,8.8,"Action, Adventure, Sci-Fi",148,219,292.58
5,The Lord of the Rings: The Return of the King,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom",1921973,9.0,"Action, Adventure, Drama",201,146,377.85
6,Star Wars,1977,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station while also attempting to rescue Princess Leia from the mysterious Darth Vader.,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness",1417138,8.6,"Action, Adventure, Fantasy",121,233,322.74
7,The Lord of the Rings: The Fellowship of the Ring,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean",1950271,8.8,"Action, Adventure, Drama",178,152,315.54
8,The Matrix,1999,When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.,Lana Wachowski,"Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving",1996284,8.7,"Action, Sci-Fi",136,187,171.48
9,Se7en,1995,Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives.,David Fincher,"Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker",1739770,8.6,"Crime, Drama, Mystery",127,105,100.13
10,Le fabuleux destin d'Amélie Poulain,2001,Despite being caught in her imaginative world Amelie a young waitress decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.,Jean-Pierre Jeunet,"Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta",779783,8.3,"Comedy, Romance",122,182,33.23
11,Terminator 2: Judgment Day,1991,A cyborg identical to the one who failed to kill Sarah Connor must now protect her ten year old son John from an even more advanced and powerful cyborg.,James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick",1144807,8.6,"Action, Sci-Fi",137,152,204.84
13,Zombieland,2009,A shy student trying to reach his family in Ohio a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.,Ruben Fleischer,"Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin",605497,7.6,"Action, Comedy, Horror",88,212,75.59
14,Shaun of the Dead,2004,The uneventful aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.,Edgar Wright,"Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis",580500,7.9,"Comedy, Horror",99,127,13.54
15,I Am Legend,2007,Years after a plague kills most of humanity and transforms the rest into monsters the sole survivor in New York City struggles valiantly to find a cure.,Francis Lawrence,"Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield",793321,7.2,"Action, Drama, Horror",101,152,256.39
